Date,ETHUSD,S&P500
2025-08-01,3492.4,6238.01
2025-08-02,3398.8,6238.01
2025-08-03,3501.2,6238.01
2025-08-04,3723.1,6329.94
2025-08-05,3614.7,6299.19
2025-08-06,3687.9,6345.06
2025-08-07,3915.0,6340.0
2025-08-08,4013.2,6389.45
2025-08-09,4265.0,6389.45
2025-08-10,4255.1,6389.45
2025-08-11,4229.4,6373.45
2025-08-12,4586.6,6445.76
2025-08-13,4749.8,6466.58
2025-08-14,4549.7,6468.54
2025-08-15,4449.4,6449.8
2025-08-16,4429.5,6449.8
2025-08-17,4475.5,6449.8
2025-08-18,4317.3,6449.15
2025-08-19,4084.4,6411.37
2025-08-20,4341.5,6395.78
2025-08-21,4232.7,6370.17
2025-08-22,4836.2,6466.91
2025-08-23,4784.8,6466.91
2025-08-24,4788.1,6466.91
2025-08-25,4381.8,6439.32
2025-08-26,4608.8,6465.94
2025-08-27,4515.1,6481.4
2025-08-28,4521.1,6501.86
2025-08-29,4366.8,6460.26
2025-08-30,4382.8,6460.26
2025-08-31,4397.3,6460.26
2025-09-01,4320.8,6460.26
2025-09-02,4331.6,6415.54
2025-09-03,4456.7,6448.26
2025-09-04,4304.8,6502.08
2025-09-05,4302.9,6481.5
2025-09-06,4273.4,6481.5
2025-09-07,4307.2,6481.5
2025-09-08,4306.1,6495.15
2025-09-09,4309.7,6512.61
2025-09-10,4345.9,6532.04
2025-09-11,4457.5,6587.47
2025-09-12,4707.8,6584.29
2025-09-13,4665.4,6584.29
2025-09-14,4615.8,6584.29
2025-09-15,4532.9,6615.28
2025-09-16,4504.8,6606.76
2025-09-17,4593.0,6600.35
2025-09-18,4589.4,6631.96
2025-09-19,4476.9,6664.36
2025-09-20,4487.9,6664.36
2025-09-21,4453.1,6664.36
2025-09-22,4205.3,6693.75
2025-09-23,4174.1,6656.92
2025-09-24,4160.4,6637.97
2025-09-25,3873.1,6604.72
2025-09-26,4042.6,6643.7
2025-09-27,4026.7,6643.7
2025-09-28,4150.9,6643.7
2025-09-29,4222.9,6661.21
2025-09-30,4146.0,6688.46
